Step,Seconds,UAV_ID,UAV_X,UAV_Y,UAV_Z,Yaw,VehicleID,X,Y,Speed
6,6.0,5,1400.0,1000.0,0.0,0,uav9,1400.0,1000.0,0.0
6,6.0,5,1400.0,1000.0,0.0,0,uav10,1400.0,1000.0,0.0
6,6.0,5,1400.0,1000.0,0.0,0,uav11,1400.0,1000.0,0.0
6,6.0,5,1400.0,1000.0,0.0,0,uav12,1400.0,1000.0,0.0
6,6.0,5,1400.0,1000.0,0.0,0,uav13,1400.0,1000.0,0.0
6,6.0,5,1400.0,1000.0,0.0,0,uav14,1400.0,1000.0,0.0
6,6.0,5,1400.0,1000.0,0.0,0,uav15,1400.0,1000.0,0.0
6,6.0,5,1400.0,1000.0,0.0,0,uav16,1400.0,1000.0,0.0
6,6.0,5,1400.0,1000.0,0.0,0,uav17,1400.0,1000.0,0.0
6,6.0,6,1400.0,1000.0,0.0,0,,,,
6,6.0,6,1400.0,1000.0,0.0,0,uav8,1400.0,1000.0,0.0
6,6.0,6,1400.0,1000.0,0.0,0,uav9,1400.0,1000.0,0.0
6,6.0,6,1400.0,1000.0,0.0,0,uav10,1400.0,1000.0,0.0
6,6.0,6,1400.0,1000.0,0.0,0,uav11,1400.0,1000.0,0.0
6,6.0,6,1400.0,1000.0,0.0,0,uav12,1400.0,1000.0,0.0
6,6.0,6,1400.0,1000.0,0.0,0,uav13,1400.0,1000.0,0.0
6,6.0,6,1400.0,1000.0,0.0,0,uav14,1400.0,1000.0,0.0
6,6.0,6,1400.0,1000.0,0.0,0,uav15,1400.0,1000.0,0.0
6,6.0,6,1400.0,1000.0,0.0,0,uav16,1400.0,1000.0,0.0
6,6.0,6,1400.0,1000.0,0.0,0,uav17,1400.0,1000.0,0.0
6,6.0,7,1400.0,1000.0,0.0,0,,,,
6,6.0,7,1400.0,1000.0,0.0,0,uav8,1400.0,1000.0,0.0
6,6.0,7,1400.0,1000.0,0.0,0,uav9,1400.0,1000.0,0.0
6,6.0,7,1400.0,1000.0,0.0,0,uav10,1400.0,1000.0,0.0
6,6.0,7,1400.0,1000.0,0.0,0,uav11,1400.0,1000.0,0.0
6,6.0,7,1400.0,1000.0,0.0,0,uav12,1400.0,1000.0,0.0
6,6.0,7,1400.0,1000.0,0.0,0,uav13,1400.0,1000.0,0.0
6,6.0,7,1400.0,1000.0,0.0,0,uav14,1400.0,1000.0,0.0
6,6.0,7,1400.0,1000.0,0.0,0,uav15,1400.0,1000.0,0.0
6,6.0,7,1400.0,1000.0,0.0,0,uav16,1400.0,1000.0,0.0
6,6.0,7,1400.0,1000.0,0.0,0,uav17,1400.0,1000.0,0.0
6,6.0,8,1400.0,1000.0,0.0,0,,,,
6,6.0,8,1400.0,1000.0,0.0,0,uav8,1400.0,1000.0,0.0
6,6.0,8,1400.0,1000.0,0.0,0,uav9,1400.0,1000.0,0.0
6,6.0,8,1400.0,1000.0,0.0,0,uav10,1400.0,1000.0,0.0
6,6.0,8,1400.0,1000.0,0.0,0,uav11,1400.0,1000.0,0.0
6,6.0,8,1400.0,1000.0,0.0,0,uav12,1400.0,1000.0,0.0
6,6.0,8,1400.0,1000.0,0.0,0,uav13,1400.0,1000.0,0.0
6,6.0,8,1400.0,1000.0,0.0,0,uav14,1400.0,1000.0,0.0
6,6.0,8,1400.0,1000.0,0.0,0,uav15,1400.0,1000.0,0.0
6,6.0,8,1400.0,1000.0,0.0,0,uav16,1400.0,1000.0,0.0
6,6.0,8,1400.0,1000.0,0.0,0,uav17,1400.0,1000.0,0.0
7,7.0,0,1400.0,1000.0,0.0,0,,,,
7,7.0,0,1400.0,1000.0,0.0,0,uav8,1400.0,1000.0,0.0
7,7.0,0,1400.0,1000.0,0.0,0,uav9,1400.0,1000.0,0.0
7,7.0,0,1400.0,1000.0,0.0,0,uav10,1400.0,1000.0,0.0
7,7.0,0,1400.0,1000.0,0.0,0,uav11,1400.0,1000.0,0.0
7,7.0,0,1400.0,1000.0,0.0,0,uav12,1400.0,1000.0,0.0
7,7.0,0,1400.0,1000.0,0.0,0,uav13,1400.0,1000.0,0.0
7,7.0,0,1400.0,1000.0,0.0,0,uav14,1400.0,1000.0,0.0
7,7.0,0,1400.0,1000.0,0.0,0,uav15,1400.0,1000.0,0.0
7,7.0,0,1400.0,1000.0,0.0,0,uav16,1400.0,1000.0,0.0
7,7.0,0,1400.0,1000.0,0.0,0,uav17,1400.0,1000.0,0.0
7,7.0,1,1400.0,1000.0,0.0,0,,,,
7,7.0,1,1400.0,1000.0,0.0,0,uav8,1400.0,1000.0,0.0
7,7.0,1,1400.0,1000.0,0.0,0,uav9,1400.0,1000.0,0.0
7,7.0,1,1400.0,1000.0,0.0,0,uav10,1400.0,1000.0,0.0
7,7.0,1,1400.0,1000.0,0.0,0,uav11,1400.0,1000.0,0.0
7,7.0,1,1400.0,1000.0,0.0,0,uav12,1400.0,1000.0,0.0
7,7.0,1,1400.0,1000.0,0.0,0,uav13,1400.0,1000.0,0.0
7,7.0,1,1400.0,1000.0,0.0,0,uav14,1400.0,1000.0,0.0
7,7.0,1,1400.0,1000.0,0.0,0,uav15,1400.0,1000.0,0.0
7,7.0,1,1400.0,1000.0,0.0,0,uav16,1400.0,1000.0,0.0
7,7.0,1,1400.0,1000.0,0.0,0,uav17,1400.0,1000.0,0.0
7,7.0,2,1400.0,1000.0,0.0,0,,,,
7,7.0,2,1400.0,1000.0,0.0,0,uav8,1400.0,1000.0,0.0
7,7.0,2,1400.0,1000.0,0.0,0,uav9,1400.0,1000.0,0.0
7,7.0,2,1400.0,1000.0,0.0,0,uav10,1400.0,1000.0,0.0
7,7.0,2,1400.0,1000.0,0.0,0,uav11,1400.0,1000.0,0.0
7,7.0,2,1400.0,1000.0,0.0,0,uav12,1400.0,1000.0,0.0
7,7.0,2,1400.0,1000.0,0.0,0,uav13,1400.0,1000.0,0.0
7,7.0,2,1400.0,1000.0,0.0,0,uav14,1400.0,1000.0,0.0
7,7.0,2,1400.0,1000.0,0.0,0,uav15,1400.0,1000.0,0.0
7,7.0,2,1400.0,1000.0,0.0,0,uav16,1400.0,1000.0,0.0
7,7.0,2,1400.0,1000.0,0.0,0,uav17,1400.0,1000.0,0.0
7,7.0,3,1400.0,1000.0,0.0,0,,,,
7,7.0,3,1400.0,1000.0,0.0,0,uav8,1400.0,1000.0,0.0
7,7.0,3,1400.0,1000.0,0.0,0,uav9,1400.0,1000.0,0.0
7,7.0,3,1400.0,1000.0,0.0,0,uav10,1400.0,1000.0,0.0
7,7.0,3,1400.0,1000.0,0.0,0,uav11,1400.0,1000.0,0.0
7,7.0,3,1400.0,1000.0,0.0,0,uav12,1400.0,1000.0,0.0
7,7.0,3,1400.0,1000.0,0.0,0,uav13,1400.0,1000.0,0.0
7,7.0,3,1400.0,1000.0,0.0,0,uav14,1400.0,1000.0,0.0
7,7.0,3,1400.0,1000.0,0.0,0,uav15,1400.0,1000.0,0.0
7,7.0,3,1400.0,1000.0,0.0,0,uav16,1400.0,1000.0,0.0
7,7.0,3,1400.0,1000.0,0.0,0,uav17,1400.0,1000.0,0.0
7,7.0,4,1400.0,1000.0,0.0,0,,,,
7,7.0,4,1400.0,1000.0,0.0,0,uav8,1400.0,1000.0,0.0
7,7.0,4,1400.0,1000.0,0.0,0,uav9,1400.0,1000.0,0.0
7,7.0,4,1400.0,1000.0,0.0,0,uav10,1400.0,1000.0,0.0
7,7.0,4,1400.0,1000.0,0.0,0,uav11,1400.0,1000.0,0.0
7,7.0,4,1400.0,1000.0,0.0,0,uav12,1400.0,1000.0,0.0
7,7.0,4,1400.0,1000.0,0.0,0,uav13,1400.0,1000.0,0.0
7,7.0,4,1400.0,1000.0,0.0,0,uav14,1400.0,1000.0,0.0
7,7.0,4,1400.0,1000.0,0.0,0,uav15,1400.0,1000.0,0.0
7,7.0,4,1400.0,1000.0,0.0,0,uav16,1400.0,1000.0,0.0
7,7.0,4,1400.0,1000.0,0.0,0,uav17,1400.0,1000.0,0.0
7,7.0,5,1400.0,1000.0,0.0,0,,,,
7,7.0,5,1400.0,1000.0,0.0,0,uav8,1400.0,1000.0,0.0
7,7.0,5,1400.0,1000.0,0.0,0,uav9,1400.0,1000.0,0.0
7,7.0,5,1400.0,1000.0,0.0,0,uav10,1400.0,1000.0,0.0
7,7.0,5,1400.0,1000.0,0.0,0,uav11,1400.0,1000.0,0.0
7,7.0,5,1400.0,1000.0,0.0,0,uav12,1400.0,1000.0,0.0
7,7.0,5,1400.0,1000.0,0.0,0,uav13,1400.0,1000.0,0.0
7,7.0,5,1400.0,1000.0,0.0,0,uav14,1400.0,1000.0,0.0
7,7.0,5,1400.0,1000.0,0.0,0,uav15,1400.0,1000.0,0.0
7,7.0,5,1400.0,1000.0,0.0,0,uav16,1400.0,1000.0,0.0
7,7.0,5,1400.0,1000.0,0.0,0,uav17,1400.0,1000.0,0.0
7,7.0,6,1400.0,1000.0,0.0,0,,,,
7,7.0,6,1400.0,1000.0,0.0,0,uav8,1400.0,1000.0,0.0
7,7.0,6,1400.0,1000.0,0.0,0,uav9,1400.0,1000.0,0.0
7,7.0,6,1400.0,1000.0,0.0,0,uav10,1400.0,1000.0,0.0
7,7.0,6,1400.0,1000.0,0.0,0,uav11,1400.0,1000.0,0.0
7,7.0,6,1400.0,1000.0,0.0,0,uav12,1400.0,1000.0,0.0
7,7.0,6,1400.0,1000.0,0.0,0,uav13,1400.0,1000.0,0.0
7,7.0,6,1400.0,1000.0,0.0,0,uav14,1400.0,1000.0,0.0
7,7.0,6,1400.0,1000.0,0.0,0,uav15,1400.0,1000.0,0.0
7,7.0,6,1400.0,1000.0,0.0,0,uav16,1400.0,1000.0,0.0
7,7.0,6,1400.0,1000.0,0.0,0,uav17,1400.0,1000.0,0.0
7,7.0,7,1400.0,1000.0,0.0,0,,,,
7,7.0,7,1400.0,1000.0,0.0,0,uav8,1400.0,1000.0,0.0
7,7.0,7,1400.0,1000.0,0.0,0,uav9,1400.0,1000.0,0.0
7,7.0,7,1400.0,1000.0,0.0,0,uav10,1400.0,1000.0,0.0
7,7.0,7,1400.0,1000.0,0.0,0,uav11,1400.0,1000.0,0.0
7,7.0,7,1400.0,1000.0,0.0,0,uav12,1400.0,1000.0,0.0
7,7.0,7,1400.0,1000.0,0.0,0,uav13,1400.0,1000.0,0.0
7,7.0,7,1400.0,1000.0,0.0,0,uav14,1400.0,1000.0,0.0
7,7.0,7,1400.0,1000.0,0.0,0,uav15,1400.0,1000.0,0.0
7,7.0,7,1400.0,1000.0,0.0,0,uav16,1400.0,1000.0,0.0
7,7.0,7,1400.0,1000.0,0.0,0,uav17,1400.0,1000.0,0.0
7,7.0,8,1400.0,1000.0,0.0,0,,,,
7,7.0,8,1400.0,1000.0,0.0,0,uav8,1400.0,1000.0,0.0
7,7.0,8,1400.0,1000.0,0.0,0,uav9,1400.0,1000.0,0.0
7,7.0,8,1400.0,1000.0,0.0,0,uav10,1400.0,1000.0,0.0
7,7.0,8,1400.0,1000.0,0.0,0,uav11,1400.0,1000.0,0.0
7,7.0,8,1400.0,1000.0,0.0,0,uav12,1400.0,1000.0,0.0
7,7.0,8,1400.0,1000.0,0.0,0,uav13,1400.0,1000.0,0.0
7,7.0,8,1400.0,1000.0,0.0,0,uav14,1400.0,1000.0,0.0
7,7.0,8,1400.0,1000.0,0.0,0,uav15,1400.0,1000.0,0.0
7,7.0,8,1400.0,1000.0,0.0,0,uav16,1400.0,1000.0,0.0
7,7.0,8,1400.0,1000.0,0.0,0,uav17,1400.0,1000.0,0.0
8,8.0,0,1400.0,1000.0,0.0,0,,,,
8,8.0,0,1400.0,1000.0,0.0,0,uav8,1400.0,1000.0,0.0
8,8.0,0,1400.0,1000.0,0.0,0,uav9,1400.0,1000.0,0.0
8,8.0,0,1400.0,1000.0,0.0,0,uav10,1400.0,1000.0,0.0
8,8.0,0,1400.0,1000.0,0.0,0,uav11,1400.0,1000.0,0.0
8,8.0,0,1400.0,1000.0,0.0,0,uav12,1400.0,1000.0,0.0
8,8.0,0,1400.0,1000.0,0.0,0,uav13,1400.0,1000.0,0.0
8,8.0,0,1400.0,1000.0,0.0,0,uav14,1400.0,1000.0,0.0
8,8.0,0,1400.0,1000.0,0.0,0,uav15,1400.0,1000.0,0.0
8,8.0,0,1400.0,1000.0,0.0,0,uav16,1400.0,1000.0,0.0
8,8.0,0,1400.0,1000.0,0.0,0,uav17,1400.0,1000.0,0.0
8,8.0,1,1400.0,1000.0,0.0,0,,,,
8,8.0,1,1400.0,1000.0,0.0,0,uav8,1400.0,1000.0,0.0
8,8.0,1,1400.0,1000.0,0.0,0,uav9,1400.0,1000.0,0.0
8,8.0,1,1400.0,1000.0,0.0,0,uav10,1400.0,1000.0,0.0
8,8.0,1,1400.0,1000.0,0.0,0,uav11,1400.0,1000.0,0.0
8,8.0,1,1400.0,1000.0,0.0,0,uav12,1400.0,1000.0,0.0
8,8.0,1,1400.0,1000.0,0.0,0,uav13,1400.0,1000.0,0.0
8,8.0,1,1400.0,1000.0,0.0,0,uav14,1400.0,1000.0,0.0
8,8.0,1,1400.0,1000.0,0.0,0,uav15,1400.0,1000.0,0.0
8,8.0,1,1400.0,1000.0,0.0,0,uav16,1400.0,1000.0,0.0
8,8.0,1,1400.0,1000.0,0.0,0,uav17,1400.0,1000.0,0.0
8,8.0,2,1400.0,1000.0,0.0,0,,,,
8,8.0,2,1400.0,1000.0,0.0,0,uav8,1400.0,1000.0,0.0
8,8.0,2,1400.0,1000.0,0.0,0,uav9,1400.0,1000.0,0.0
8,8.0,2,1400.0,1000.0,0.0,0,uav10,1400.0,1000.0,0.0
8,8.0,2,1400.0,1000.0,0.0,0,uav11,1400.0,1000.0,0.0
8,8.0,2,1400.0,1000.0,0.0,0,uav12,1400.0,1000.0,0.0
8,8.0,2,1400.0,1000.0,0.0,0,uav13,1400.0,1000.0,0.0
8,8.0,2,1400.0,1000.0,0.0,0,uav14,1400.0,1000.0,0.0
8,8.0,2,1400.0,1000.0,0.0,0,uav15,1400.0,1000.0,0.0
8,8.0,2,1400.0,1000.0,0.0,0,uav16,1400.0,1000.0,0.0
8,8.0,2,1400.0,1000.0,0.0,0,uav17,1400.0,1000.0,0.0
8,8.0,3,1400.0,1000.0,0.0,0,,,,
8,8.0,3,1400.0,1000.0,0.0,0,uav8,1400.0,1000.0,0.0
8,8.0,3,1400.0,1000.0,0.0,0,uav9,1400.0,1000.0,0.0
8,8.0,3,1400.0,1000.0,0.0,0,uav10,1400.0,1000.0,0.0
8,8.0,3,1400.0,1000.0,0.0,0,uav11,1400.0,1000.0,0.0
8,8.0,3,1400.0,1000.0,0.0,0,uav12,1400.0,1000.0,0.0
8,8.0,3,1400.0,1000.0,0.0,0,uav13,1400.0,1000.0,0.0
8,8.0,3,1400.0,1000.0,0.0,0,uav14,1400.0,1000.0,0.0
8,8.0,3,1400.0,1000.0,0.0,0,uav15,1400.0,1000.0,0.0
8,8.0,3,1400.0,1000.0,0.0,0,uav16,1400.0,1000.0,0.0
8,8.0,3,1400.0,1000.0,0.0,0,uav17,1400.0,1000.0,0.0
8,8.0,4,1400.0,1000.0,0.0,0,,,,
8,8.0,4,1400.0,1000.0,0.0,0,uav8,1400.0,1000.0,0.0
8,8.0,4,1400.0,1000.0,0.0,0,uav9,1400.0,1000.0,0.0
8,8.0,4,1400.0,1000.0,0.0,0,uav10,1400.0,1000.0,0.0
8,8.0,4,1400.0,1000.0,0.0,0,uav11,1400.0,1000.0,0.0
8,8.0,4,1400.0,1000.0,0.0,0,uav12,1400.0,1000.0,0.0
8,8.0,4,1400.0,1000.0,0.0,0,uav13,1400.0,1000.0,0.0
8,8.0,4,1400.0,1000.0,0.0,0,uav14,1400.0,1000.0,0.0
8,8.0,4,1400.0,1000.0,0.0,0,uav15,1400.0,1000.0,0.0
8,8.0,4,1400.0,1000.0,0.0,0,uav16,1400.0,1000.0,0.0
8,8.0,4,1400.0,1000.0,0.0,0,uav17,1400.0,1000.0,0.0
8,8.0,5,1400.0,1000.0,0.0,0,,,,
8,8.0,5,1400.0,1000.0,0.0,0,uav8,1400.0,1000.0,0.0
8,8.0,5,1400.0,1000.0,0.0,0,uav9,1400.0,1000.0,0.0
8,8.0,5,1400.0,1000.0,0.0,0,uav10,1400.0,1000.0,0.0
8,8.0,5,1400.0,1000.0,0.0,0,uav11,1400.0,1000.0,0.0
8,8.0,5,1400.0,1000.0,0.0,0,uav12,1400.0,1000.0,0.0
8,8.0,5,1400.0,1000.0,0.0,0,uav13,1400.0,1000.0,0.0
8,8.0,5,1400.0,1000.0,0.0,0,uav14,1400.0,1000.0,0.0
8,8.0,5,1400.0,1000.0,0.0,0,uav15,1400.0,1000.0,0.0
8,8.0,5,1400.0,1000.0,0.0,0,uav16,1400.0,1000.0,0.0
8,8.0,5,1400.0,1000.0,0.0,0,uav17,1400.0,1000.0,0.0
8,8.0,6,1400.0,1000.0,0.0,0,,,,
8,8.0,6,1400.0,1000.0,0.0,0,uav8,1400.0,1000.0,0.0
8,8.0,6,1400.0,1000.0,0.0,0,uav9,1400.0,1000.0,0.0
8,8.0,6,1400.0,1000.0,0.0,0,uav10,1400.0,1000.0,0.0
8,8.0,6,1400.0,1000.0,0.0,0,uav11,1400.0,1000.0,0.0
8,8.0,6,1400.0,1000.0,0.0,0,uav12,1400.0,1000.0,0.0
8,8.0,6,1400.0,1000.0,0.0,0,uav13,1400.0,1000.0,0.0
8,8.0,6,1400.0,1000.0,0.0,0,uav14,1400.0,1000.0,0.0
8,8.0,6,1400.0,1000.0,0.0,0,uav15,1400.0,1000.0,0.0
8,8.0,6,1400.0,1000.0,0.0,0,uav16,1400.0,1000.0,0.0
8,8.0,6,1400.0,1000.0,0.0,0,uav17,1400.0,1000.0,0.0
8,8.0,7,1400.0,1000.0,0.0,0,,,,
8,8.0,7,1400.0,1000.0,0.0,0,uav8,1400.0,1000.0,0.0
8,8.0,7,1400.0,1000.0,0.0,0,uav9,1400.0,1000.0,0.0
8,8.0,7,1400.0,1000.0,0.0,0,uav10,1400.0,1000.0,0.0
8,8.0,7,1400.0,1000.0,0.0,0,uav11,1400.0,1000.0,0.0
8,8.0,7,1400.0,1000.0,0.0,0,uav12,1400.0,1000.0,0.0
8,8.0,7,1400.0,1000.0,0.0,0,uav13,1400.0,1000.0,0.0
8,8.0,7,1400.0,1000.0,0.0,0,uav14,1400.0,1000.0,0.0
8,8.0,7,1400.0,1000.0,0.0,0,uav15,1400.0,1000.0,0.0
8,8.0,7,1400.0,1000.0,0.0,0,uav16,1400.0,1000.0,0.0
8,8.0,7,1400.0,1000.0,0.0,0,uav17,1400.0,1000.0,0.0
8,8.0,8,1400.0,1000.0,0.0,0,,,,
8,8.0,8,1400.0,1000.0,0.0,0,uav8,1400.0,1000.0,0.0
8,8.0,8,1400.0,1000.0,0.0,0,uav9,1400.0,1000.0,0.0
8,8.0,8,1400.0,1000.0,0.0,0,uav10,1400.0,1000.0,0.0
8,8.0,8,1400.0,1000.0,0.0,0,uav11,1400.0,1000.0,0.0
8,8.0,8,1400.0,1000.0,0.0,0,uav12,1400.0,1000.0,0.0
8,8.0,8,1400.0,1000.0,0.0,0,uav13,1400.0,1000.0,0.0
8,8.0,8,1400.0,1000.0,0.0,0,uav14,1400.0,1000.0,0.0
8,8.0,8,1400.0,1000.0,0.0,0,uav15,1400.0,1000.0,0.0
8,8.0,8,1400.0,1000.0,0.0,0,uav16,1400.0,1000.0,0.0
8,8.0,8,1400.0,1000.0,0.0,0,uav17,1400.0,1000.0,0.0
9,9.0,0,1400.0,1000.0,0.0,0,,,,
9,9.0,0,1400.0,1000.0,0.0,0,uav8,1400.0,1000.0,0.0
9,9.0,0,1400.0,1000.0,0.0,0,uav9,1400.0,1000.0,0.0
9,9.0,0,1400.0,1000.0,0.0,0,uav10,1400.0,1000.0,0.0
9,9.0,0,1400.0,1000.0,0.0,0,uav11,1400.0,1000.0,0.0
9,9.0,0,1400.0,1000.0,0.0,0,uav12,1400.0,1000.0,0.0
9,9.0,0,1400.0,1000.0,0.0,0,uav13,1400.0,1000.0,0.0
9,9.0,0,1400.0,1000.0,0.0,0,uav14,1400.0,1000.0,0.0
9,9.0,0,1400.0,1000.0,0.0,0,uav15,1400.0,1000.0,0.0
9,9.0,0,1400.0,1000.0,0.0,0,uav16,1400.0,1000.0,0.0
9,9.0,0,1400.0,1000.0,0.0,0,uav17,1400.0,1000.0,0.0
9,9.0,1,1400.0,1000.0,0.0,0,,,,
9,9.0,1,1400.0,1000.0,0.0,0,uav8,1400.0,1000.0,0.0
9,9.0,1,1400.0,1000.0,0.0,0,uav9,1400.0,1000.0,0.0
9,9.0,1,1400.0,1000.0,0.0,0,uav10,1400.0,1000.0,0.0
9,9.0,1,1400.0,1000.0,0.0,0,uav11,1400.0,1000.0,0.0
9,9.0,1,1400.0,1000.0,0.0,0,uav12,1400.0,1000.0,0.0
9,9.0,1,1400.0,1000.0,0.0,0,uav13,1400.0,1000.0,0.0
9,9.0,1,1400.0,1000.0,0.0,0,uav14,1400.0,1000.0,0.0
9,9.0,1,1400.0,1000.0,0.0,0,uav15,1400.0,1000.0,0.0
9,9.0,1,1400.0,1000.0,0.0,0,uav16,1400.0,1000.0,0.0
9,9.0,1,1400.0,1000.0,0.0,0,uav17,1400.0,1000.0,0.0
9,9.0,2,1400.0,1000.0,0.0,0,,,,
9,9.0,2,1400.0,1000.0,0.0,0,uav8,1400.0,1000.0,0.0
9,9.0,2,1400.0,1000.0,0.0,0,uav9,1400.0,1000.0,0.0
9,9.0,2,1400.0,1000.0,0.0,0,uav10,1400.0,1000.0,0.0
9,9.0,2,1400.0,1000.0,0.0,0,uav11,1400.0,1000.0,0.0
9,9.0,2,1400.0,1000.0,0.0,0,uav12,1400.0,1000.0,0.0
9,9.0,2,1400.0,1000.0,0.0,0,uav13,1400.0,1000.0,0.0
9,9.0,2,1400.0,1000.0,0.0,0,uav14,1400.0,1000.0,0.0
9,9.0,2,1400.0,1000.0,0.0,0,uav15,1400.0,1000.0,0.0
9,9.0,2,1400.0,1000.0,0.0,0,uav16,1400.0,1000.0,0.0
9,9.0,2,1400.0,1000.0,0.0,0,uav17,1400.0,1000.0,0.0
9,9.0,3,1400.0,1000.0,0.0,0,,,,
9,9.0,3,1400.0,1000.0,0.0,0,uav8,1400.0,1000.0,0.0
9,9.0,3,1400.0,1000.0,0.0,0,uav9,1400.0,1000.0,0.0
9,9.0,3,1400.0,1000.0,0.0,0,uav10,1400.0,1000.0,0.0
9,9.0,3,1400.0,1000.0,0.0,0,uav11,1400.0,1000.0,0.0
9,9.0,3,1400.0,1000.0,0.0,0,uav12,1400.0,1000.0,0.0
9,9.0,3,1400.0,1000.0,0.0,0,uav13,1400.0,1000.0,0.0
9,9.0,3,1400.0,1000.0,0.0,0,uav14,1400.0,1000.0,0.0
9,9.0,3,1400.0,1000.0,0.0,0,uav15,1400.0,1000.0,0.0
9,9.0,3,1400.0,1000.0,0.0,0,uav16,1400.0,1000.0,0.0
9,9.0,3,1400.0,1000.0,0.0,0,uav17,1400.0,1000.0,0.0
9,9.0,4,1400.0,1000.0,0.0,0,,,,
9,9.0,4,1400.0,1000.0,0.0,0,uav8,1400.0,1000.0,0.0
9,9.0,4,1400.0,1000.0,0.0,0,uav9,1400.0,1000.0,0.0
9,9.0,4,1400.0,1000.0,0.0,0,uav10,1400.0,1000.0,0.0
9,9.0,4,1400.0,1000.0,0.0,0,uav11,1400.0,1000.0,0.0
9,9.0,4,1400.0,1000.0,0.0,0,uav12,1400.0,1000.0,0.0
9,9.0,4,1400.0,1000.0,0.0,0,uav13,1400.0,1000.0,0.0
9,9.0,4,1400.0,1000.0,0.0,0,uav14,1400.0,1000.0,0.0
9,9.0,4,1400.0,1000.0,0.0,0,uav15,1400.0,1000.0,0.0
9,9.0,4,1400.0,1000.0,0.0,0,uav16,1400.0,1000.0,0.0
9,9.0,4,1400.0,1000.0,0.0,0,uav17,1400.0,1000.0,0.0
9,9.0,5,1400.0,1000.0,0.0,0,,,,
9,9.0,5,1400.0,1000.0,0.0,0,uav8,1400.0,1000.0,0.0
9,9.0,5,1400.0,1000.0,0.0,0,uav9,1400.0,1000.0,0.0
9,9.0,5,1400.0,1000.0,0.0,0,uav10,1400.0,1000.0,0.0
9,9.0,5,1400.0,1000.0,0.0,0,uav11,1400.0,1000.0,0.0
9,9.0,5,1400.0,1000.0,0.0,0,uav12,1400.0,1000.0,0.0
9,9.0,5,1400.0,1000.0,0.0,0,uav13,1400.0,1000.0,0.0
9,9.0,5,1400.0,1000.0,0.0,0,uav14,1400.0,1000.0,0.0
9,9.0,5,1400.0,1000.0,0.0,0,uav15,1400.0,1000.0,0.0
9,9.0,5,1400.0,1000.0,0.0,0,uav16,1400.0,1000.0,0.0
9,9.0,5,1400.0,1000.0,0.0,0,uav17,1400.0,1000.0,0.0
9,9.0,6,1400.0,1000.0,0.0,0,,,,
9,9.0,6,1400.0,1000.0,0.0,0,uav8,1400.0,1000.0,0.0
9,9.0,6,1400.0,1000.0,0.0,0,uav9,1400.0,1000.0,0.0
9,9.0,6,1400.0,1000.0,0.0,0,uav10,1400.0,1000.0,0.0
9,9.0,6,1400.0,1000.0,0.0,0,uav11,1400.0,1000.0,0.0
9,9.0,6,1400.0,1000.0,0.0,0,uav12,1400.0,1000.0,0.0
9,9.0,6,1400.0,1000.0,0.0,0,uav13,1400.0,1000.0,0.0
9,9.0,6,1400.0,1000.0,0.0,0,uav14,1400.0,1000.0,0.0
9,9.0,6,1400.0,1000.0,0.0,0,uav15,1400.0,1000.0,0.0
9,9.0,6,1400.0,1000.0,0.0,0,uav16,1400.0,1000.0,0.0
9,9.0,6,1400.0,1000.0,0.0,0,uav17,1400.0,1000.0,0.0
9,9.0,7,1400.0,1000.0,0.0,0,,,,
9,9.0,7,1400.0,1000.0,0.0,0,uav8,1400.0,1000.0,0.0
9,9.0,7,1400.0,1000.0,0.0,0,uav9,1400.0,1000.0,0.0
9,9.0,7,1400.0,1000.0,0.0,0,uav10,1400.0,1000.0,0.0
9,9.0,7,1400.0,1000.0,0.0,0,uav11,1400.0,1000.0,0.0
9,9.0,7,1400.0,1000.0,0.0,0,uav12,1400.0,1000.0,0.0
9,9.0,7,1400.0,1000.0,0.0,0,uav13,1400.0,1000.0,0.0
9,9.0,7,1400.0,1000.0,0.0,0,uav14,1400.0,1000.0,0.0
9,9.0,7,1400.0,1000.0,0.0,0,uav15,1400.0,1000.0,0.0
9,9.0,7,1400.0,1000.0,0.0,0,uav16,1400.0,1000.0,0.0
9,9.0,7,1400.0,1000.0,0.0,0,uav17,1400.0,1000.0,0.0
9,9.0,8,1400.0,1000.0,0.0,0,,,,
9,9.0,8,1400.0,1000.0,0.0,0,uav8,1400.0,1000.0,0.0
9,9.0,8,1400.0,1000.0,0.0,0,uav9,1400.0,1000.0,0.0
9,9.0,8,1400.0,1000.0,0.0,0,uav10,1400.0,1000.0,0.0
9,9.0,8,1400.0,1000.0,0.0,0,uav11,1400.0,1000.0,0.0
9,9.0,8,1400.0,1000.0,0.0,0,uav12,1400.0,1000.0,0.0
9,9.0,8,1400.0,1000.0,0.0,0,uav13,1400.0,1000.0,0.0
9,9.0,8,1400.0,1000.0,0.0,0,uav14,1400.0,1000.0,0.0
9,9.0,8,1400.0,1000.0,0.0,0,uav15,1400.0,1000.0,0.0
9,9.0,8,1400.0,1000.0,0.0,0,uav16,1400.0,1000.0,0.0
9,9.0,8,1400.0,1000.0,0.0,0,uav17,1400.0,1000.0,0.0
10,10.0,0,1400.0,1000.0,0.0,0,,,,
10,10.0,0,1400.0,1000.0,0.0,0,uav8,1400.0,1000.0,0.0
10,10.0,0,1400.0,1000.0,0.0,0,uav9,1400.0,1000.0,0.0
